"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.name","metaResult.symbol","metaResult.description","metaResult.seller_fee_basis_points","metaResult.image","metaResult.attributes","metaResult.properties.files","metaResult.properties.creators","metaResult.properties.category","metaResult.collection.name","metaResult.collection.family"
"[""F7LLzRMBc518ELGamzdRrnRV4F3FuuDwAVUsAUeDFdY6"",""FeaMSEyYCmkkwzo1czsH2MnuaZGP5thfBQiGrdnjtK1h""]","TheChickenz Origins #475","[0,100]","TCO","https://arweave.net/eMvBUdwJiwtAYW5knF8ztccJ51pcfSXynjrP_EuU5Zk","[1,0]",true,"8QRnpARu4Dwheq1fs35XymyDMJtC5uc8YQVocSCBsvcV",true,"FeaMSEyYCmkkwzo1czsH2MnuaZGP5thfBQiGrdnjtK1h","https://explorer.solana.com/address/8QRnpARu4Dwheq1fs35XymyDMJtC5uc8YQVocSCBsvcV","TheChickenz Origins #475","TCO","TheChickenz Origins is a collection of 1,222 characters designed by Fabiola Colavecchio. By simply holding an NFT you will be able to share in the revenues of a Battle Royale mobile game. The 25% of monthly game profits are shared among 1,215 TheChickenz Origins NFTs, and an extra 10% of game profits are shared among 7 TheChickenz Origins Unique pieces. Stake your Chick to earn $CHICK.",500,"https://www.arweave.net/lhEQ00Y72lkkSS9vjVPxncgKsobYu0LqOWJH3caVJjM?ext=png","[{""trait_type"":""RARITY"",""value"":""Common""},{""trait_type"":""BREED"",""value"":""Chicken""},{""trait_type"":""MOUTH"",""value"":""None""},{""trait_type"":""CLOTHES"",""value"":""Hoodie""},{""trait_type"":""EYES"",""value"":""Sunglasses""},{""trait_type"":""HAT"",""value"":""Worm""},{""trait_type"":""WEAPON"",""value"":""Bow""},{""trait_type"":""SHIELD"",""value"":""None""},{""trait_type"":""BACKGROUND"",""value"":""Gradient""},{""trait_type"":""COLOR"",""value"":""Pink""}]","[{""uri"":""https://www.arweave.net/lhEQ00Y72lkkSS9vjVPxncgKsobYu0LqOWJH3caVJjM?ext=png"",""type"":""image/png""}]","[{""address"":""FeaMSEyYCmkkwzo1czsH2MnuaZGP5thfBQiGrdnjtK1h"",""share"":100}]","image","TheChickenz Origins","TheChickenz Origins"
"[""EfZ8f7AiJPdYud9TjRCQewvNPSu9ZVw9DfVg64AoxzHE"",""5hce78UqEa2JxXHvGWxjNwqh62jqZvf1ep3Qe7WoNYou"",""BuNageytWKnXgWbXpJaAByj23T9xhy93264mb8cetfLz""]","Duck Royal Club #280","[0,10,90]","DURC","https://arweave.net/vCFyERGBm9R2IP7kKpMPLtVKYC5ZL42chXTHTV0RJeo","[1,0,0]",true,"CV9GTkCyQLN2vAdEKmv9UafUCNMo5bYCn4Z7VjBTZZyE",true,"5yADLrL7kDkKsJPgw9R6u9EHsiW6sCPgPhsKk7HAoc9s","https://explorer.solana.com/address/CV9GTkCyQLN2vAdEKmv9UafUCNMo5bYCn4Z7VjBTZZyE","Duck Royal Club #280","DURC","The Duck Royal Club is the 2nd collection out of 10 of the Royal Club NFTs. 555 Ducks that will give you access to the exclusive Royal Club DAO and Club Wallet SOL airdrops",700,"https://arweave.net/3arGf3-azooFDSZOMg84mPdhIEVzWtUj-ZuwV6bG2x0","[{""trait_type"":""Background"",""value"":""Aurora""},{""trait_type"":""Body"",""value"":""Gold""},{""trait_type"":""Eyes"",""value"":""OG""},{""trait_type"":""Beak"",""value"":""Gold""},{""trait_type"":""Eyewear"",""value"":""None""},{""trait_type"":""Hat"",""value"":""Sombrero""}]","[{""type"":""image/png"",""uri"":""https://arweave.net/3arGf3-azooFDSZOMg84mPdhIEVzWtUj-ZuwV6bG2x0""}]","[{""address"":""5hce78UqEa2JxXHvGWxjNwqh62jqZvf1ep3Qe7WoNYou"",""share"":10},{""address"":""BuNageytWKnXgWbXpJaAByj23T9xhy93264mb8cetfLz"",""share"":90}]","image","Duck Royal Club","Royal Club NFT"
"[""F7LLzRMBc518ELGamzdRrnRV4F3FuuDwAVUsAUeDFdY6"",""FeaMSEyYCmkkwzo1czsH2MnuaZGP5thfBQiGrdnjtK1h""]","TheChickenz Origins #1099","[0,100]","TCO","https://arweave.net/6VUK0sMg2IYXdF7PkgGk5lOmUDiVGFZH7e3sF7b6eq4","[1,0]",true,"BXo61hYdZpFd2QeCbzo4VyGWkLoAUuX2zpRNLtcxCQp7",true,"FeaMSEyYCmkkwzo1czsH2MnuaZGP5thfBQiGrdnjtK1h","https://explorer.solana.com/address/BXo61hYdZpFd2QeCbzo4VyGWkLoAUuX2zpRNLtcxCQp7","TheChickenz Origins #1099","TCO","TheChickenz Origins is a collection of 1,222 characters designed by Fabiola Colavecchio. By simply holding an NFT you will be able to share in the revenues of a Battle Royale mobile game. The 25% of monthly game profits are shared among 1,215 TheChickenz Origins NFTs, and an extra 10% of game profits are shared among 7 TheChickenz Origins Unique pieces. Stake your Chick to earn $CHICK.",500,"https://www.arweave.net/D29D7IGgS54vhRXhWBLXrNFnJUY1_oSZ82qBfZ1JuUs?ext=png","[{""trait_type"":""RARITY"",""value"":""Epic""},{""trait_type"":""BREED"",""value"":""Chicken""},{""trait_type"":""MOUTH"",""value"":""Robot""},{""trait_type"":""CLOTHES"",""value"":""Poncho""},{""trait_type"":""EYES"",""value"":""Sunglasses""},{""trait_type"":""HAT"",""value"":""Worm""},{""trait_type"":""WEAPON"",""value"":""Trident""},{""trait_type"":""SHIELD"",""value"":""Spartan""},{""trait_type"":""BACKGROUND"",""value"":""Circuits""},{""trait_type"":""COLOR"",""value"":""Brown""}]","[{""uri"":""https://www.arweave.net/D29D7IGgS54vhRXhWBLXrNFnJUY1_oSZ82qBfZ1JuUs?ext=png"",""type"":""image/png""}]","[{""address"":""FeaMSEyYCmkkwzo1czsH2MnuaZGP5thfBQiGrdnjtK1h"",""share"":100}]","image","TheChickenz Origins","TheChickenz Origins"
"[""6JYM3e2gmrPb2pivGeqcoZKso5zAFgPG6KCcwRcnaSrm"",""DeLu4LLuniMe4ERPXoTRXVLFrq1xq3kjNQ68gGnTZ7Vc""]","Yukan Theros #951","[0,100]","YT","https://arweave.net/zWX3xR5ZtblXDCiEHcNnkHskE3kRuLXdZNq0IoQvCHE","[1,0]",true,"69W5nNyx7v9oDboFrPETe5MVrP2SUNcHqusCRWsC5ANK",true,"DeLu4LLuniMe4ERPXoTRXVLFrq1xq3kjNQ68gGnTZ7Vc","https://explorer.solana.com/address/69W5nNyx7v9oDboFrPETe5MVrP2SUNcHqusCRWsC5ANK","Yukan Theros #951","YT","1,111 Yukan Theros have been brought to the present from 200 million years ago by an accidental time travel experiment, and they eventually fell in love with the Raptorz",700,"https://arweave.net/V28yULg5laHNIRoAiwWOKQ27_2Ln9JxTRfW6AOoWquU","[{""trait_type"":""Background"",""value"":""Violet""},{""trait_type"":""Avatar"",""value"":""Ice""},{""trait_type"":""Face"",""value"":""FeatherMask""},{""trait_type"":""Neck"",""value"":""Rope""},{""trait_type"":""Mouth"",""value"":""SaberTooth""}]","[{""type"":""image/png"",""uri"":""https://arweave.net/V28yULg5laHNIRoAiwWOKQ27_2Ln9JxTRfW6AOoWquU""}]","[{""address"":""DeLu4LLuniMe4ERPXoTRXVLFrq1xq3kjNQ68gGnTZ7Vc"",""share"":100}]","image","Yukan Theros","Theros"
"[""3yCi3HSYDfCgexH46CRfX5JKzA3WGYYTt8AqokmY9tHi"",""7uCWeriPZmEBFLvZmBc2UAUNgustuwkujWTqhJD9GoyD"",""JA9mPSLcQLpUoCQMwT8GUqWoUtyhsQfawMWnEp4SKwBk"",""4dQqG3SVuAqtHy64mVp2BYEybXDjoXTFxRtDgCbsEyht"",""2Ex5PnVraQ6Q6X5F8iR9JPFjD3GEU1V3JyPxpijbTYr6""]","Lana Frogs #379","[0,41,50,1,8]","","https://arweave.net/zLH8IOMAtTKIEKFpprf9M0u_eTzsot6oRssj6Bwzobk","[1,0,0,0,0]",true,"3i6qZKcLgkip3UqjTGNJgBbxAZ7PBw51mVpp8hEWmhoJ",true,"6RFuQcBKsU6niT1ndbN9uv5KV9onDjUBKbBkJtuxBR3q","https://explorer.solana.com/address/3i6qZKcLgkip3UqjTGNJgBbxAZ7PBw51mVpp8hEWmhoJ","Lana Frogs #379","","A collection of the most ribbiting 4444 frogs, holding this NFT gives you access to our PondDAO and other exclusive benefits.",600,"https://www.arweave.net/6lZgRJeWGO000AC-IOhZQAuNFizUbI-OI0T7hw5QF6o?ext=png","[{""trait_type"":""Background"",""value"":""Lilac""},{""trait_type"":""Skin"",""value"":""Yellow""},{""trait_type"":""Clothes"",""value"":""Beige Sweater""},{""trait_type"":""Head"",""value"":""Green Top Hat""},{""trait_type"":""Mouth"",""value"":""Open Smile""},{""trait_type"":""Eyes"",""value"":""Wide Open""}]","[{""uri"":""https://www.arweave.net/6lZgRJeWGO000AC-IOhZQAuNFizUbI-OI0T7hw5QF6o?ext=png"",""type"":""image/png""}]","[{""address"":""7uCWeriPZmEBFLvZmBc2UAUNgustuwkujWTqhJD9GoyD"",""share"":41},{""address"":""JA9mPSLcQLpUoCQMwT8GUqWoUtyhsQfawMWnEp4SKwBk"",""share"":50},{""address"":""4dQqG3SVuAqtHy64mVp2BYEybXDjoXTFxRtDgCbsEyht"",""share"":1},{""address"":""2Ex5PnVraQ6Q6X5F8iR9JPFjD3GEU1V3JyPxpijbTYr6"",""share"":8}]","image","Lana Frogs","Lana Frogs NFT"
"[""GErEMvGKV2vZB5gzbD1quw8LDQFUKWjGcCBUqRkfV1Uw"",""6JuFMxBrVe9rXwEUynLnZCCcvu5Nz5bpxjKEEJ1nfvk5"",""CFqPEEmLda2YYLWvFcD17Jf1QgidkpQoJf3xUZn7so4R"",""25ybrvkz4RLjivUSArscRL9Gn3FBYeJirSGa5RvrMPe8""]","#535","[0,70,20,10]","","https://arweave.net/8N3YmJz9K05RZR0ROOkZiDTdEkypsp5wxCp97C2WMdU","[1,0,0,0]",true,"EZ9bYTKdqNNu9c9nExNSxiQYnd25cNstm5eSPqcShTQ3",true,"577nZgxsQCJmFxSsR4fUbixknUDL26GskUWC5anpNLMz","https://explorer.solana.com/address/EZ9bYTKdqNNu9c9nExNSxiQYnd25cNstm5eSPqcShTQ3","#535","","Inspired by the abstract art movement, this project is an experimentation of color, texture and light on an artistic composition of a basic form. Resembling Piet Mondrian’s artwork, this collection uses rectangles as the basic form, adding a third dimension and innovative placement of rectangles to create a 3D canvas. The color, texture and light of these rectangles are then assigned through a parametric approach. The result is a collection of 1000 TensorBoxes with unique composition and some mesmerizing compositions.",500,"https://www.arweave.net/84ouRFb6TubL1XUZZsbtIRfLOcnZPV_MieapVCqW8As?ext=png","[{""trait_type"":""Color Generators"",""value"":""Six""},{""trait_type"":""Emission Level"",""value"":""Medium""},{""trait_type"":""Contrast"",""value"":""Medium""},{""trait_type"":""Surface Type"",""value"":""SubScatterring""},{""trait_type"":""Anchor"",""value"":""Scattered""},{""trait_type"":""Base Color"",""value"":""Colored""},{""trait_type"":""Tensor Density"",""value"":""Medium""},{""trait_type"":""Orientation"",""value"":""Horizontal""},{""trait_type"":""Camera"",""value"":""Orthographic""},{""trait_type"":""Z-depth"",""value"":""Regular""},{""trait_type"":""Dominant Color 1"",""value"":""black""},{""trait_type"":""Dominant Color 2"",""value"":""floralwhite""},{""trait_type"":""Dominant Color 3"",""value"":""darkslategray""},{""trait_type"":""Dominant Color 4"",""value"":""darkolivegreen""},{""trait_type"":""Dominant Color 5"",""value"":""goldenrod""},{""trait_type"":""Dominant Color 6"",""value"":""sienna""}]","[{""type"":""image/png"",""uri"":""https://www.arweave.net/84ouRFb6TubL1XUZZsbtIRfLOcnZPV_MieapVCqW8As?ext=png""}]","[{""address"":""6JuFMxBrVe9rXwEUynLnZCCcvu5Nz5bpxjKEEJ1nfvk5"",""share"":70},{""address"":""CFqPEEmLda2YYLWvFcD17Jf1QgidkpQoJf3xUZn7so4R"",""share"":20},{""address"":""25ybrvkz4RLjivUSArscRL9Gn3FBYeJirSGa5RvrMPe8"",""share"":10}]","image","TensorBox","Parametrise"
"[""5jU41S8v2YW5XKs8gbf8HZEej3ZdXBDQHXLaCFnpAJ4b"",""9Y6Sbv9nhd7iFxuwoWifHzT2AbZv5Ed1tpDMFhGgeYdi"",""7iJagfERshrVkJoC4sxG5N8R7BwqL1pb1zo2MTxXbxvs"",""823d4Ut2TvoWvMuA1Un2WG8cvidhvBuAaJk4Gn184NrF""]","Squid War NFT #1336","[0,10,10,80]","SQUID","https://arweave.net/0ZbcvvDYIJ5SmklyIrPGZ_KKaC6df-mLOSPCd8kiYEg","[1,0,0,0]",true,"5XwET94wQJmrLMb5vGfhE1yEKuiTJGfR2q9TNK7Hv6Cs",true,"6pEX6i3YA3uAbBAHoWqH3CDWKRkeUfZmFFJgx2KWY5Q6","https://explorer.solana.com/address/5XwET94wQJmrLMb5vGfhE1yEKuiTJGfR2q9TNK7Hv6Cs","Squid War NFT #1336","SQUID","Squid War project is a mint of 11000 nfts representing some squid. A rarity system is included in the generation of items, allowing the nfts to be valued. It's a play to earn project.",1000,"https://www.arweave.net/6f_qzRUFYjSiwcsfWPruNaOkRtnUwN5Ar0vXR7v3vVo?ext=png","[{""trait_type"":""background"",""value"":""Pink""},{""trait_type"":""body"",""value"":""Military""},{""trait_type"":""tattoo"",""value"":""Nothing""},{""trait_type"":""right tentacle"",""value"":""Pan""},{""trait_type"":""left tentacle"",""value"":""Banana""},{""trait_type"":""eyes"",""value"":""Angry""},{""trait_type"":""hairiness"",""value"":""Mustache""},{""trait_type"":""hat"",""value"":""Military helmet""},{""trait_type"":""rarity"",""value"":""Common""},{""trait_type"":""attack"",""value"":80},{""trait_type"":""hp"",""value"":600},{""trait_type"":""defense"",""value"":25},{""trait_type"":""energy"",""value"":50},{""trait_type"":""critical"",""value"":10},{""trait_type"":""dodge"",""value"":30}]","[{""uri"":""https://www.arweave.net/6f_qzRUFYjSiwcsfWPruNaOkRtnUwN5Ar0vXR7v3vVo?ext=png"",""type"":""image/png""}]","[{""address"":""9Y6Sbv9nhd7iFxuwoWifHzT2AbZv5Ed1tpDMFhGgeYdi"",""share"":10},{""address"":""7iJagfERshrVkJoC4sxG5N8R7BwqL1pb1zo2MTxXbxvs"",""share"":10},{""address"":""823d4Ut2TvoWvMuA1Un2WG8cvidhvBuAaJk4Gn184NrF"",""share"":80}]","image","Squid War","PlayToEarn"
"[""3yCi3HSYDfCgexH46CRfX5JKzA3WGYYTt8AqokmY9tHi"",""7uCWeriPZmEBFLvZmBc2UAUNgustuwkujWTqhJD9GoyD"",""JA9mPSLcQLpUoCQMwT8GUqWoUtyhsQfawMWnEp4SKwBk"",""4dQqG3SVuAqtHy64mVp2BYEybXDjoXTFxRtDgCbsEyht"",""2Ex5PnVraQ6Q6X5F8iR9JPFjD3GEU1V3JyPxpijbTYr6""]","Lana Frogs #2397","[0,41,50,1,8]","","https://arweave.net/L3VnIIB73lr7k5SbF8onzSyQ8ltFHGHp_wdDEoCk8fw","[1,0,0,0,0]",true,"CAY2HMXpwxrL9qJJUX2nu4WBSnp7WVLsPTwQ2PdTe2ok",true,"6RFuQcBKsU6niT1ndbN9uv5KV9onDjUBKbBkJtuxBR3q","https://explorer.solana.com/address/CAY2HMXpwxrL9qJJUX2nu4WBSnp7WVLsPTwQ2PdTe2ok","Lana Frogs #2397","","A collection of the most ribbiting 4444 frogs, holding this NFT gives you access to our PondDAO and other exclusive benefits.",600,"https://www.arweave.net/xNdvJdn0B_vln_g46TGb-rgLsiMDwYJerqLIAE_succ?ext=png","[{""trait_type"":""Background"",""value"":""Pink""},{""trait_type"":""Skin"",""value"":""Pink""},{""trait_type"":""Clothes"",""value"":""White Tee""},{""trait_type"":""Head"",""value"":""Flower""},{""trait_type"":""Mouth"",""value"":""Smile""},{""trait_type"":""Eyes"",""value"":""Closed""}]","[{""uri"":""https://www.arweave.net/xNdvJdn0B_vln_g46TGb-rgLsiMDwYJerqLIAE_succ?ext=png"",""type"":""image/png""}]","[{""address"":""7uCWeriPZmEBFLvZmBc2UAUNgustuwkujWTqhJD9GoyD"",""share"":41},{""address"":""JA9mPSLcQLpUoCQMwT8GUqWoUtyhsQfawMWnEp4SKwBk"",""share"":50},{""address"":""4dQqG3SVuAqtHy64mVp2BYEybXDjoXTFxRtDgCbsEyht"",""share"":1},{""address"":""2Ex5PnVraQ6Q6X5F8iR9JPFjD3GEU1V3JyPxpijbTYr6"",""share"":8}]","image","Lana Frogs","Lana Frogs NFT"
"[""BkgDWrVisA3j7VBRYE6dAsgwaSa2YcHKYT7PYhzsPWou"",""95wHQdPGtm9pnJRNTcF2ZwskUYdgkMjyJc392KBMnynh"",""F61rNRUhmN4GutbyZFtgj3sMFTC7oB2unSmnjUneQdm5""]","Soldier #179","[0,50,50]","SXS","https://arweave.net/t2YZ-bQCMFKt_a3hJ8WGIoUUUgCKel8ts7qEf4LXqD0","[1,0,0]",true,"FXU2kNLu2DGn3P1vGjVD299Lddg2AN8kYb5EQpqq3CSv",true,"7NdZb6V9vHb2JxH59c3hNF33oVXQCAR9necZGjPsaRpr","https://explorer.solana.com/address/FXU2kNLu2DGn3P1vGjVD299Lddg2AN8kYb5EQpqq3CSv","Soldier #179","SXS","In Solaris, a great war is bound to happen. Whether you're able to infiltrate Solaris as a Soldier, their fate is yours to decide. SOLDIER is Part I of SoldierXSolvivor NFT series, community driven manga powered by Solana.",500,"https://www.arweave.net/inQBaGQkNbvl4Tdi8VlfgKg7sRuL11wPskUw9Vq7FP4?ext=png","[{""trait_type"":""Background"",""value"":""Solana""},{""trait_type"":""Backpack"",""value"":""Yellow Tube""},{""trait_type"":""Body"",""value"":""Male""},{""trait_type"":""Suit"",""value"":""Military Vest""},{""trait_type"":""Headgear"",""value"":""PASGT Helmet""},{""trait_type"":""Mask"",""value"":""Defuser Armor""},{""trait_type"":""Vision"",""value"":""DopeShot""},{""trait_type"":""Weapon"",""value"":""Bullpup""}]","[{""uri"":""https://www.arweave.net/inQBaGQkNbvl4Tdi8VlfgKg7sRuL11wPskUw9Vq7FP4?ext=png"",""type"":""image/png""}]","[{""address"":""95wHQdPGtm9pnJRNTcF2ZwskUYdgkMjyJc392KBMnynh"",""share"":50},{""address"":""F61rNRUhmN4GutbyZFtgj3sMFTC7oB2unSmnjUneQdm5"",""share"":50}]","image","SoldierXSolvivor - SOLDIER","SoldierXSolvivor"
"[""5wKUWDnPvf8x2mp6Q1rteBC8cPqBtxo3csn8FPR7Kzk8"",""F2sxA27gfSGFkTdrMLUhJREWqt1VQQmYMYAa3acGPRtb""]","Yakuza Raptorz #554","[0,100]"," ","https://arweave.net/mwfTkY2lDkWQQSfqfjQ_FaWwLBIDNqHkB1uxhVtX62Q","[1,0]",true,"2PZQf8LnwozfGBMfYYRQaa6DVhqH2RZzZ1KowTzGJxxF",true,"F2sxA27gfSGFkTdrMLUhJREWqt1VQQmYMYAa3acGPRtb","https://explorer.solana.com/address/2PZQf8LnwozfGBMfYYRQaa6DVhqH2RZzZ1KowTzGJxxF","Yakuza Raptorz #554"," ","1,111 Yakuza Raptors have been brought to the present from 200 million years ago by an accidental time travel experiment",500,"https://www.arweave.net/bFpa9-o0Ccllzw4yIfPUlWyj9nyxgyZKAO_OuE9hL8A?ext=png","[{""trait_type"":""Background"",""value"":""Blue""},{""trait_type"":""Body"",""value"":""Base""},{""trait_type"":""Skin"",""value"":""Brown""},{""trait_type"":""Pattern"",""value"":""Orange""},{""trait_type"":""Mouth"",""value"":""None""},{""trait_type"":""Head"",""value"":""Headphones""},{""trait_type"":""Eyes"",""value"":""Blue""}]","[{""uri"":""https://www.arweave.net/bFpa9-o0Ccllzw4yIfPUlWyj9nyxgyZKAO_OuE9hL8A?ext=png"",""type"":""image/png""}]","[{""address"":""F2sxA27gfSGFkTdrMLUhJREWqt1VQQmYMYAa3acGPRtb"",""share"":100}]","image","Yakuza Raptorz","Raptorz"
"[""5wKUWDnPvf8x2mp6Q1rteBC8cPqBtxo3csn8FPR7Kzk8"",""F2sxA27gfSGFkTdrMLUhJREWqt1VQQmYMYAa3acGPRtb""]","Yakuza Raptorz #379","[0,100]"," ","https://arweave.net/7mTfJjivuCB_tbHhKVBZqcYs9z11BHSbBGECi5C8Wfw","[1,0]",true,"A9z4u6NtxiaBaZGjNAHTcdKXXUfCxniDidjjQSK1ACWJ",true,"F2sxA27gfSGFkTdrMLUhJREWqt1VQQmYMYAa3acGPRtb","https://explorer.solana.com/address/A9z4u6NtxiaBaZGjNAHTcdKXXUfCxniDidjjQSK1ACWJ","Yakuza Raptorz #379"," ","1,111 Yakuza Raptors have been brought to the present from 200 million years ago by an accidental time travel experiment",500,"https://www.arweave.net/kHkjOdh1niRx1241YCbthuvLulHCuWNv275YF-ISToE?ext=png","[{""trait_type"":""Background"",""value"":""Red""},{""trait_type"":""Body"",""value"":""Base""},{""trait_type"":""Skin"",""value"":""Blue""},{""trait_type"":""Pattern"",""value"":""Orange""},{""trait_type"":""Mouth"",""value"":""None""},{""trait_type"":""Head"",""value"":""Santa_hat""},{""trait_type"":""Eyes"",""value"":""Green""}]","[{""uri"":""https://www.arweave.net/kHkjOdh1niRx1241YCbthuvLulHCuWNv275YF-ISToE?ext=png"",""type"":""image/png""}]","[{""address"":""F2sxA27gfSGFkTdrMLUhJREWqt1VQQmYMYAa3acGPRtb"",""share"":100}]","image","Yakuza Raptorz","Raptorz"
"[""FLJufvUdY7uLSSs2R8ZQ22ATitRhph55fsDMGL9ougPP"",""9Y6Sbv9nhd7iFxuwoWifHzT2AbZv5Ed1tpDMFhGgeYdi"",""7iJagfERshrVkJoC4sxG5N8R7BwqL1pb1zo2MTxXbxvs"",""823d4Ut2TvoWvMuA1Un2WG8cvidhvBuAaJk4Gn184NrF""]","Squid War NFT #450","[0,10,10,80]","SQUID","https://arweave.net/JeXrhygrMQSd0wE-0rIj_6QBIK8Ti3x0zAXb8oDG7QQ","[1,0,0,0]",true,"A4WEAVVeZKBwisnzf4rvbjDD3buPMPqhgVmg6oBZXSrj",true,"6pEX6i3YA3uAbBAHoWqH3CDWKRkeUfZmFFJgx2KWY5Q6","https://explorer.solana.com/address/A4WEAVVeZKBwisnzf4rvbjDD3buPMPqhgVmg6oBZXSrj","Squid War NFT #450","SQUID","Squid War project is a mint of 11000 nfts representing some squid. A rarity system is included in the generation of items, allowing the nfts to be valued. It's a play to earn project.",1000,"https://www.arweave.net/Sx1-xUbZ1E4-1FaJwZ4t96vML25fhmttEbjR0LS2o68?ext=png","[{""trait_type"":""background"",""value"":""Bubble dark blue""},{""trait_type"":""body"",""value"":""Purple""},{""trait_type"":""tattoo"",""value"":""Hearth""},{""trait_type"":""right tentacle"",""value"":""Fork""},{""trait_type"":""left tentacle"",""value"":""Banana""},{""trait_type"":""eyes"",""value"":""Tired""},{""trait_type"":""hairiness"",""value"":""Mustache 2""},{""trait_type"":""hat"",""value"":""Military helmet""},{""trait_type"":""rarity"",""value"":""Common""},{""trait_type"":""attack"",""value"":90},{""trait_type"":""hp"",""value"":670},{""trait_type"":""defense"",""value"":17},{""trait_type"":""energy"",""value"":40},{""trait_type"":""critical"",""value"":10},{""trait_type"":""dodge"",""value"":25}]","[{""uri"":""https://www.arweave.net/Sx1-xUbZ1E4-1FaJwZ4t96vML25fhmttEbjR0LS2o68?ext=png"",""type"":""image/png""}]","[{""address"":""9Y6Sbv9nhd7iFxuwoWifHzT2AbZv5Ed1tpDMFhGgeYdi"",""share"":10},{""address"":""7iJagfERshrVkJoC4sxG5N8R7BwqL1pb1zo2MTxXbxvs"",""share"":10},{""address"":""823d4Ut2TvoWvMuA1Un2WG8cvidhvBuAaJk4Gn184NrF"",""share"":80}]","image","Squid War","PlayToEarn"
"[""3yCi3HSYDfCgexH46CRfX5JKzA3WGYYTt8AqokmY9tHi"",""7uCWeriPZmEBFLvZmBc2UAUNgustuwkujWTqhJD9GoyD"",""JA9mPSLcQLpUoCQMwT8GUqWoUtyhsQfawMWnEp4SKwBk"",""4dQqG3SVuAqtHy64mVp2BYEybXDjoXTFxRtDgCbsEyht"",""2Ex5PnVraQ6Q6X5F8iR9JPFjD3GEU1V3JyPxpijbTYr6""]","Lana Frogs #4116","[0,41,50,1,8]","","https://arweave.net/tFNq2EXB3R-6bCBCqbvOgbnB7ouXxVk5b8BZfPyoOHI","[1,0,0,0,0]",true,"4tkLRtPfd2imtfok2MnzCFJ1ukg55rr9LBT8yBLdM8aC",true,"6RFuQcBKsU6niT1ndbN9uv5KV9onDjUBKbBkJtuxBR3q","https://explorer.solana.com/address/4tkLRtPfd2imtfok2MnzCFJ1ukg55rr9LBT8yBLdM8aC","Lana Frogs #4116","","A collection of the most ribbiting 4444 frogs, holding this NFT gives you access to our PondDAO and other exclusive benefits.",600,"https://www.arweave.net/ScXs2liWz8VCsXAaW2Dia-Hi6jpLpp64DKjiM0WF990?ext=png","[{""trait_type"":""Background"",""value"":""Red""},{""trait_type"":""Skin"",""value"":""Pink""},{""trait_type"":""Clothes"",""value"":""Skull Tee""},{""trait_type"":""Head"",""value"":""Inspector Hat""},{""trait_type"":""Mouth"",""value"":""Bubblegum""},{""trait_type"":""Eyes"",""value"":""Half Open""}]","[{""uri"":""https://www.arweave.net/ScXs2liWz8VCsXAaW2Dia-Hi6jpLpp64DKjiM0WF990?ext=png"",""type"":""image/png""}]","[{""address"":""7uCWeriPZmEBFLvZmBc2UAUNgustuwkujWTqhJD9GoyD"",""share"":41},{""address"":""JA9mPSLcQLpUoCQMwT8GUqWoUtyhsQfawMWnEp4SKwBk"",""share"":50},{""address"":""4dQqG3SVuAqtHy64mVp2BYEybXDjoXTFxRtDgCbsEyht"",""share"":1},{""address"":""2Ex5PnVraQ6Q6X5F8iR9JPFjD3GEU1V3JyPxpijbTYr6"",""share"":8}]","image","Lana Frogs","Lana Frogs NFT"
