"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.name","metaResult.symbol","metaResult.description","metaResult.seller_fee_basis_points","metaResult.image","metaResult.animation_url","metaResult.external_url","metaResult.attributes","metaResult.collection.name","metaResult.collection.family","metaResult.properties.files","metaResult.properties.category","metaResult.properties.creators"
"[""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F""]","Seer's Eye","[20,20,20,20,20]","LWS","https://arweave.net/2jFtwHkSFzwa3q4AihT5e5Bgc4YdOP-GPCw1VlBRlW4","[1,0,0,0,0]",false,"4x9Z8waGKPwTD9V2wvhkoXgxmz6WQEjALAzWD4pqDQnD",false,"Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf","https://explorer.solana.com/address/4x9Z8waGKPwTD9V2wvhkoXgxmz6WQEjALAzWD4pqDQnD","Seer's Eye","LWS","A single mysterious eyeball suspended in bubbling liquid. It emanates a slowly pulsating pale blue light.
If that effect isn’t unsettling enough, the fact that the eye flicks its gaze about the room of its own volition should do the trick.",500,"https://arweave.net/wpxrfTo1iVqGOtUHL--Uusbru-yaCTKsIaknNGzokJQ/main.png","https://arweave.net/wpxrfTo1iVqGOtUHL--Uusbru-yaCTKsIaknNGzokJQ/index.html","https://grimsyndicate.com","[{""trait_type"":""Rarity"",""value"":""Common""},{""trait_type"":""Material"",""value"":""Default""}]","Lordrym's Workshop","Grim Syndicate","[{""uri"":""https://arweave.net/wpxrfTo1iVqGOtUHL--Uusbru-yaCTKsIaknNGzokJQ/index.html"",""type"":""text/html""},{""uri"":""https://arweave.net/wpxrfTo1iVqGOtUHL--Uusbru-yaCTKsIaknNGzokJQ/main.png"",""type"":""image/png""},{""uri"":""https://arweave.net/wpxrfTo1iVqGOtUHL--Uusbru-yaCTKsIaknNGzokJQ/front.png"",""type"":""image/png""},{""uri"":""https://arweave.net/wpxrfTo1iVqGOtUHL--Uusbru-yaCTKsIaknNGzokJQ/back.png"",""type"":""image/png""}]","html","[{""address"":""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""share"":20},{""address"":""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""share"":20},{""address"":""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""share"":20},{""address"":""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""share"":20},{""address"":""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F"",""share"":20}]"
"[""CLErvyrMpi66RAxNV2wveSi25NxHb8G383MSVuGDgZzp"",""trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH"",""3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr"",""8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk"",""ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1""]","Degen Trash Panda #5873","[0,59,10,5,26]","DTP","https://arweave.net/XZ0RLFquOF5ye3dYU4UhE9dZ5VmN7sGL2oIZgK2DfxI","[1,0,0,0,0]",true,"H3VQfbG1bjoYiLDV575z3zEgYc6qju4v6g6XnPqu2B2d",true,"trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH","https://explorer.solana.com/address/H3VQfbG1bjoYiLDV575z3zEgYc6qju4v6g6XnPqu2B2d","Degen Trash Panda #5873","DTP","Inhabiting their own underworld society, the Degenerate Trash Pandas are governed by no individuals and live by no rules. What they have is their trash, and their trash is their treasure. They’ll do whatever they can to get their dirty little paws on it.",420,"https://www.arweave.net/0H09fQbFyWl34-GvLhH9SOAS_OQIkP-3Kl6wlNM7Xw4?ext=png",,,"[{""trait_type"":""MOUTH"",""value"":""Bird Foot - Smirk""},{""trait_type"":""BACKGROUND"",""value"":""Black""},{""trait_type"":""GLASSES"",""value"":""No Traits""},{""trait_type"":""BODY"",""value"":""No Traits""},{""trait_type"":""HEAD"",""value"":""Tomato Soup""},{""trait_type"":""FUR"",""value"":""Purple - Smirk""},{""trait_type"":""❤️"",""value"":6}]","Degen Trash Pandas","Degeniverse","[{""uri"":""https://www.arweave.net/0H09fQbFyWl34-GvLhH9SOAS_OQIkP-3Kl6wlNM7Xw4?ext=png"",""type"":""image/png""}]","image","[{""address"":""trshC9cTgL3BPXoAbp5w9UfnUMWEJx5G61vUijXPMLH"",""share"":59},{""address"":""3B86L4BrRjm9V7sd3AjjJq5XFtyqMgCYMCTwqMMvAxgr"",""share"":10},{""address"":""8BoJdKKz3j4bUGJdAdGhaiSpv1EM9HhSm1cjy1iPrfhk"",""share"":5},{""address"":""ENACtpCWKJAomGtWVH2UqdNKmkR1Ft4V81gC4oUbi5W1"",""share"":26}]"
"[""junkdnnfArSWXaePD7LWA1CjBbVW84sorgsMhL8zf91"",""6jH8TiEu44rqgnti6tGZN9LndbyNo9tYtinLN4RtnmXu""]","Junkmail#2595","[0,100]","JUNK","https://arweave.net/3c1AkYZ6wODmdhTsX6Vy1X2ZquJ4ATVJa7Oy2h2eEHE","[1,0]",true,"2TjnyS8xeNvXRZ9sPg6EFEyEHqv5YXsE6rSEAJrfgGup",true,"junkdnnfArSWXaePD7LWA1CjBbVW84sorgsMhL8zf91","https://explorer.solana.com/address/2TjnyS8xeNvXRZ9sPg6EFEyEHqv5YXsE6rSEAJrfgGup","Junkmail#2595","JUNK","6969 generative and unsolicited but hopefully not unrequited expressions of interest.",420,"https://www.arweave.net/9VlEINJCHyNtSGrAv4jaDQ4QWpA75QYEfZAppXJ5OzA?ext=png",,"https://nftjunkmail.com/","[{""trait_type"":""size"",""value"":""Small""},{""trait_type"":""orientation"",""value"":""Right""},{""trait_type"":""circumcised"",""value"":""Uncut""},{""trait_type"":""Base"",""value"":""Pink""},{""trait_type"":""Trait 1"",""value"":""Vein""},{""trait_type"":""Trait 2"",""value"":""Gold Chain""},{""trait_type"":""Trait 3"",""value"":""None""}]","Junk Mail","Junk Mail","[{""type"":""image/png"",""uri"":""https://www.arweave.net/9VlEINJCHyNtSGrAv4jaDQ4QWpA75QYEfZAppXJ5OzA?ext=png""}]","image","[{""address"":""6jH8TiEu44rqgnti6tGZN9LndbyNo9tYtinLN4RtnmXu"",""share"":100},{""address"":""junkdnnfArSWXaePD7LWA1CjBbVW84sorgsMhL8zf91"",""share"":0}]"
"[""48ZHWLbxfM2ytzCgTG1ngPX8U88fcSDdfDRJ8iYdXPGf"",""HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX"",""53LS1oDAWmCMFaezgYqwprEwM1Ginrxj5SVDK6AaU7gB""]","gayl","[0,100,0]","POWR","https://arweave.net/PQwV6aC2kzm2HhGDs8IMoj52UNUkBxiEEX_FG2KJEeQ","[1,0,0]",true,"F5TXE2aLN6GQUU8aKS18NjMdMxjE253Xee52g48tgWPR",true,"53LS1oDAWmCMFaezgYqwprEwM1Ginrxj5SVDK6AaU7gB","https://explorer.solana.com/address/F5TXE2aLN6GQUU8aKS18NjMdMxjE253Xee52g48tgWPR","gayl","POWR","100,000 digital snowflakes floating around the metaverse. Learn more at fractal.is/nft",700,"https://arweave.net/ZyXfz3kqteIoQxL7dvEstrrFWJkkag5mbR4MedWoiLI?ext=jpg","","https://www.fractal.is","[{""trait_type"":""faction"",""value"":""tri""},{""trait_type"":""power"",""value"":38.2},{""trait_type"":""purity"",""value"":0.6263},{""trait_type"":""velocity"",""value"":94.57},{""trait_type"":""spin"",""value"":35.68},{""trait_type"":""altitude"",""value"":11035}]","fractals","fractals","[{""uri"":""https://arweave.net/ZyXfz3kqteIoQxL7dvEstrrFWJkkag5mbR4MedWoiLI?ext=jpg"",""type"":""image/jpg""}]","image","[{""address"":""HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX"",""share"":100}]"
"[""9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L"",""9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9"",""HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM"",""7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu"",""DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX""]","Degen Ape #5061","[39,25,25,10,1]","DAPE","https://arweave.net/g1WvoyHKTjcp4An9yIasjWW3AeQJ89Uuqv3LLHuVYOw","[0,0,0,0,1]",false,"9WP7xaPhkBtk9kmNsUAVfrYUi1oR9VnqBXjF4XXiUa9V",true,"DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX","https://explorer.solana.com/address/9WP7xaPhkBtk9kmNsUAVfrYUi1oR9VnqBXjF4XXiUa9V","Degen Ape #5061","DAPE","Deep in the heart of Dingus Forest echoes the sleepless cries of a troop of 10,000 apes. These aren’t just regular apes, however. These are degenerate apes.",420,"https://arweave.net/D8sZ0BjdUW1pH1AvNVh6X_VE1SDXfGaJ8KuDqXF6cNM",,"","[{""trait_type"":""Background"",""value"":""Teal""},{""trait_type"":""Fur / Skin"",""value"":""Red / Blue""},{""trait_type"":""Head"",""value"":""Beanie""},{""trait_type"":""Mouth"",""value"":""Donut""},{""trait_type"":""Teeth"",""value"":""No Traits""},{""trait_type"":""Clothing"",""value"":""Striped T-Shirt""},{""trait_type"":""Eyewear"",""value"":""No Traits""},{""display_type"":""number"",""trait_type"":""generation"",""value"":1},{""display_type"":""number"",""trait_type"":""sequence"",""value"":5061}]",,,"[{""uri"":""https://arweave.net/D8sZ0BjdUW1pH1AvNVh6X_VE1SDXfGaJ8KuDqXF6cNM?ext=png"",""type"":""image/png""}]","image","[{""address"":""9BKWqDHfHZh9j39xakYVMdr6hXmCLHH5VfCpeq2idU9L"",""share"":39},{""address"":""9FYsKrNuEweb55Wa2jaj8wTKYDBvuCG3huhakEj96iN9"",""share"":25},{""address"":""HNGVuL5kqjDehw7KR63w9gxow32sX6xzRNgLb8GkbwCM"",""share"":25},{""address"":""7FzXBBPjzrNJbm9MrZKZcyvP3ojVeYPUG2XkBPVZvuBu"",""share"":10},{""address"":""DC2mkgwhy56w3viNtHDjJQmc7SGu2QX785bS4aexojwX"",""share"":1}]"
"[""DnP3GRVqtR9vjxMZH4PcFuGZ4ZqhbNqoGzJuTrHACK6f"",""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B""]","Grim #1547","[0,20,28,26,26]","GRIM","https://arweave.net/IOoMcRMspFzca2H3hITjeRlZ1oMQv95o6ZAAPO5w-7w","[1,0,0,0,0]",true,"FYozJcqL643pqWk1YomVbLZ5jSGPeWwFcKveznbdMN8o",true,"Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf","https://explorer.solana.com/address/FYozJcqL643pqWk1YomVbLZ5jSGPeWwFcKveznbdMN8o","Grim #1547","GRIM","The Grim Syndicate is a collection of 10,000 generated Grims that do the dirty work of playing afterlife janitors across all planes of existence; in fetching those stubborn Souls who vacate their living vessels but aren’t ready to move on to the Ethereal Realm. What you call a haunting, these Reaper Agents call “all in a day’s work”.",500,"https://www.arweave.net/PctDxpPE2KEFnaukT0tbs9LiZPPaq0H-OGQV21oTkVc?ext=png",,"https://grimsyndicate.com","[{""trait_type"":""Background"",""value"":""Green""},{""trait_type"":""Arsenal Back"",""value"":""None""},{""trait_type"":""Base"",""value"":""White - Toothy""},{""trait_type"":""Outfit"",""value"":""Collared Shirt (Green)""},{""trait_type"":""Outerwear"",""value"":""Gas Mask""},{""trait_type"":""Decoration"",""value"":""None""},{""trait_type"":""Nose"",""value"":""Double-Barrel""},{""trait_type"":""Arsenal Front"",""value"":""None""},{""trait_type"":""Eyes"",""value"":""Eyebrow Raise""},{""trait_type"":""Headwear"",""value"":""Athletic Visor""},{""trait_type"":""ID"",""value"":1547},{""trait_type"":""Rank"",""value"":2893}]","Grim Syndicate","Grim Syndicate","[{""uri"":""https://www.arweave.net/PctDxpPE2KEFnaukT0tbs9LiZPPaq0H-OGQV21oTkVc?ext=png"",""type"":""image/png""}]",,"[{""address"":""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""share"":20},{""address"":""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""share"":28},{""address"":""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""share"":26},{""address"":""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""share"":26}]"
